"ID","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117569","PTBP2",2242.58053434686,4.04284140932179,0.193863674038509,20.8540430762636,1.40072094416155e-96,2.42814975670405e-92
"ENSG00000184374","COLEC10",550.283646685122,-2.27349690195852,0.166883942359342,-13.6232214424988,2.9142371439711e-42,2.52591504453695e-38
"ENSG00000204681","GABBR1",1343.46555408854,1.84925104511813,0.143429046936666,12.893141832942,4.91978945383946e-38,2.84281833941023e-34
"ENSG00000011304","PTBP1",10513.3872786539,-1.69647784199497,0.137955664432847,-12.2972684664265,9.368912502775e-35,3.99937955899157e-31
"ENSG00000169429","CXCL8",2516.54557376591,-1.6518890958959,0.134513732819857,-12.2804494475529,1.15355626160703e-34,3.99937955899157e-31
"ENSG00000140416","TPM1",34353.8527816333,1.36010385924196,0.111598668761807,12.1874559466738,3.62563926659624e-34,1.04750761144076e-30
"ENSG00000155980","KIF5A",279.864773962019,3.00420443841105,0.269626974536734,11.1420767286834,7.82725490329874e-29,1.93836376783834e-25
"ENSG00000122786","CALD1",19951.1013190363,-1.35170700288451,0.127361920384537,-10.6131173179815,2.58962140366466e-26,5.61138587906587e-23
"ENSG00000140575","IQGAP1",20968.3397765544,-1.24940193541369,0.120448621886131,-10.3729035322201,3.29362200249188e-25,6.34388193479964e-22
"ENSG00000125538","IL1B",1148.66202629862,-1.36380479129818,0.132395049375623,-10.3010255876629,6.97140443001444e-25,1.208492957943e-21
"ENSG00000136068","FLNB",13676.3903370138,-1.26264648248925,0.123812799533185,-10.1980286953356,2.02337573515216e-24,3.18865621535116e-21
"ENSG00000149591","TAGLN",19003.6717517786,1.43330875059141,0.146087998671928,9.81126967048278,1.00693515467032e-22,1.45460174218417e-19
"ENSG00000077157","PPP1R12B",1276.37939229468,1.26429394840081,0.131628888052485,9.60498844217764,7.6166475703149e-22,1.01565065870315e-18
"ENSG00000134874","DZIP1",1083.86572977046,-1.35643469340995,0.142536539532657,-9.51639977971522,1.79282726186714e-21,2.21990432746192e-18
"ENSG00000166147","FBN1",11496.3237345221,-1.16641887915725,0.123223253410644,-9.46589906427917,2.91046381421721e-21,3.36352601463035e-18
"ENSG00000106701","FSD1L",547.957865084278,1.88548480959298,0.199927672705008,9.43083458173897,4.06838813243979e-21,4.40784426724024e-18
"ENSG00000028277","POU2F2",1047.07574226183,-1.37961936022581,0.153196373360696,-9.00556148922368,2.14565012266992e-19,2.18793205155782e-16
"ENSG00000167244","IGF2",2060.5276271255,-1.31379653024643,0.151052672420175,-8.69760533989041,3.38961034852285e-18,3.26438307731354e-15
"ENSG00000112186","CAP2",1865.45292350254,1.04901108418072,0.120726787794187,8.68913273803869,3.65216739765075e-18,3.33212220201451e-15
"ENSG00000114779","ABHD14B",803.090466519487,-1.19995014206387,0.142133781852979,-8.44239931155196,3.10889193305516e-17,2.69463208297556e-14
"ENSG00000155961","RAB39B",149.249462053478,2.53718561830464,0.305170570284318,8.31399179790115,9.25355502430582e-17,7.63858934982578e-14
"ENSG00000011021","CLCN6",2144.72317651641,1.00173738039075,0.121461653041895,8.24735507300581,1.619387086848e-16,1.27600341593228e-13
"ENSG00000197635","DPP4",1459.75573834478,-1.2885613013985,0.15696429054155,-8.20926401127783,2.22548404352395e-16,1.67733764758642e-13
"ENSG00000140553","UNC45A",6005.13100018949,-1.12878989211694,0.139593317430022,-8.08627456456007,6.15174218124882e-16,4.26561802847793e-13
"ENSG00000110811","P3H3",7008.53215190407,-1.32457048887972,0.16414567975724,-8.06948127321214,7.05974606692341e-16,4.70694992577374e-13
"ENSG00000085662","AKR1B1",5371.16547449732,-0.95777478048273,0.121510654161549,-7.88222882258014,3.21592401501639e-15,2.06474232593738e-12
"ENSG00000072952","IRAG1",289.684784935198,1.48538782099396,0.195218147524735,7.60886136779755,2.76521156581539e-14,1.7119622319075e-11
"ENSG00000099365","STX1B",349.817984595174,1.35667079143865,0.179488270458343,7.55854846656131,4.07592140562826e-14,2.43641715746779e-11
"ENSG00000107796","ACTA2",3557.70460778954,0.897510724118788,0.118908549300564,7.54790744145871,4.42307070435254e-14,2.55579768866504e-11
