"ID","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002745","WNT16",1531.82170842829,-3.76648007584417,0.0895589604388705,-42.0558708741938,0,0
"ENSG00000026025","VIM",1578.10887611151,5.5568943235415,0.123182611361505,45.1110287574081,0,0
"ENSG00000104419","NDRG1",6651.57618433111,-3.61462927709829,0.0727337760923577,-49.6967086173061,0,0
"ENSG00000112245","PTP4A1",9297.6418735984,-1.72690779054234,0.0457198573117902,-37.7715043764366,0,0
"ENSG00000117394","SLC2A1",4897.38328288596,-4.22394698938438,0.0722503292949107,-58.4626676529474,0,0
"ENSG00000124762","CDKN1A",3736.33629908683,-3.14234208776078,0.065033531093225,-48.3187985480331,0,0
"ENSG00000131016","AKAP12",56376.6864442437,-1.6359408582008,0.0400502613885696,-40.8471955358499,0,0
"ENSG00000109321","AREG",3932.96764771411,-2.20961679537594,0.0599269662018654,-36.8718280837511,1.30727674799601e-297,3.25577274088424e-294
"ENSG00000135373","EHF",1003.7653875481,4.91234543026495,0.135675714896372,36.2065195972394,4.80712447769059e-287,1.0641905343723e-283
"ENSG00000261150","EPPK1",2741.58807125559,-2.34673066660625,0.0674703225083036,-34.7816725837859,4.60419997078186e-265,9.17340802178577e-262
"ENSG00000132170","PPARG",995.85090395655,-3.3722798002889,0.100460843372816,-33.5681016311416,4.90150010875582e-247,8.87795346971373e-244
"ENSG00000163435","ELF3",2850.37558498707,-2.04833663366227,0.0632685797295136,-32.3752586579204,6.12113264826446e-230,1.01631205736684e-226
"ENSG00000185650","ZFP36L1",5238.43883407211,-1.71259429557369,0.0538952087979412,-31.7763737031689,1.3727834212822e-221,2.10394899120205e-218
"ENSG00000167755","KLK6",1268.20574305763,2.76454322523994,0.0896274973559397,30.8448110992215,6.57510362927394e-209,9.35731176497528e-206
"ENSG00000143878","RHOB",7050.38602219291,1.97355911123731,0.0651237320874908,30.3047606145471,9.92194267367546e-202,1.31789857220207e-198
